83.9,37.14,100.156,4.66
82.5,34.97,100.134,5.21
82.2,32.5,100.175,5.75
83.2,29.74,100.272,6.14
83.2,28.52,100.392,6.39
78.8,27.9,100.5,6.85
73.8,27.35,100.611,7.41
70,26.78,100.685,7.66
66.6,26.28,100.696,7.32
63.9,25.79,100.646,6.67
62.5,25.31,100.595,5.98
62.3,24.83,100.535,5.36
60.9,24.45,100.519,4.83
58.3,24.11,100.545,4.49
56.4,23.8,100.57,4.27
45.7,24.82,100.602,5.05
46.5,26.15,100.705,5.12
49.5,29.59,100.773,5.46
49.1,33.05,100.803,5.2
48.8,36.41,100.806,4.85
50,39.28,100.73,4.55
52.2,41.05,100.552,4.25
56,41.86,100.401,4
61.7,41.64,100.257,3.86
67.3,40.19,100.149,4.22
70.8,37.68,100.108,4.73
73.6,34.41,100.103,5.37
79.8,30.85,100.201,6.32
84.5,29.15,100.312,7.09
83.5,28.1,100.431,7.59
81.7,27.27,100.5,7.99
78.7,26.64,100.546,8.24
75.1,26.15,100.538,8.03
72.4,25.76,100.487,7.47
71,25.35,100.418,6.71
71,24.96,100.361,6.05
69.3,24.55,100.3,5.35
66.8,24.38,100.298,4.72
63.4,24.55,100.364,4.23
39,24.6,100.512,4.09
38.8,25.58,100.586,4.33
40.3,27.46,100.603,4.67
45.9,30,100.629,4.95
56.2,32.11,100.664,5.29
65.2,32.7,100.579,5.81
72.1,32.59,100.5,6.35
78.4,32.05,100.388,6.81
82.5,31.19,100.315,7.22
83.7,30.34,100.286,7.39
82.7,28.98,100.283,7.37
79.3,28.45,100.318,7.29
73.4,27.18,100.4,6.73
66.5,26.8,100.514,6.52
61.3,26.25,100.591,6.64
58.4,25.89,100.673,7
57.5,25.47,100.688,7.29
57.2,24.89,100.675,7.41
57.8,24.52,100.598,7.4
58.4,24.27,100.509,7.36
59.3,24.17,100.448,7.37
58.9,24.06,100.435,7.01
57.3,24.02,100.433,6.55
55.1,23.99,100.478,6.21
45.9,22.79,100.461,4.83
44.9,25.59,100.541,4.68
51.2,28.96,100.596,4.73
57.8,31.48,100.663,4.64
64.2,33.26,100.661,4.5
70.2,34.07,100.604,4.55
75.9,34.46,100.464,4.63
80.4,34.46,100.365,4.7
84.4,33.9,100.291,4.71
88.5,32.89,100.223,4.56
93.5,31.77,100.21,4.38
97.3,30.24,100.232,4.25
100.9,27.41,100.309,4.19
102,25.98,100.37,4.41
98.6,25.63,100.457,4.67
93.7,25.18,100.531,4.95
87.7,24.77,100.589,5.01
80.7,24.41,100.588,4.97
74.5,24.09,100.532,4.93
69.2,23.81,100.485,4.88
64.4,23.58,100.429,4.88
58.1,23.41,100.38,5.01
52.9,23.26,100.38,5.2
49.2,23.16,100.381,5.33
42,23.58,100.497,5.06
38.3,25.92,100.597,4.92
40,29.38,100.66,5.05
45.7,33.72,100.707,5.29
53.3,36.92,100.673,5.66
60.5,39.43,100.576,5.91
68,40.99,100.48,6.06
75.4,41.44,100.365,6.35
81.2,40.82,100.254,6.74
85.5,39.24,100.194,6.83
87.6,36.89,100.2,6.79
87.9,33.74,100.226,6.9
86.7,30.25,100.29,7.01
83.5,28.29,100.397,7.16
77.3,27.52,100.496,7.48
70,26.97,100.588,7.74
64.7,26.41,100.637,7.71
61.8,25.96,100.629,7.42
60,25.54,100.601,6.99
57.9,25.18,100.528,6.59
56.2,24.81,100.443,6.29
55.7,24.47,100.426,6.01
